nome,categoria,descricao
Mouse Gamer,Perifericos,Mouse RGB com seis botoes programaveis
Teclado Mecanico,Perifericos,Teclado mecanico para digitacao e jogos
Monitor 24 Polegadas,Monitores,Monitor Full HD para estudo e trabalho
Notebook Core i5,Computadores,Notebook para atividades escolares e profissionais
SSD 480GB,Armazenamento,SSD SATA para melhorar o desempenho do computador
HD Externo 1TB,Armazenamento,Dispositivo portatil para copia de seguranca
Webcam Full HD,Acessorios,Webcam para aulas online e videoconferencias
Headset Gamer,Audio,Headset com microfone integrado
Caixa de Som Bluetooth,Audio,Caixa de som portatil com conexao Bluetooth
Impressora 3D Ender 3,Impressao 3D,Impressora 3D para prototipagem e projetos
Filamento PLA,Impressao 3D,Material plastico usado em impressao 3D
Placa Arduino Uno,Robotica,Placa para projetos de automacao e robotica
Sensor Ultrassonico,Robotica,Sensor utilizado para medir distancia
Modulo Bluetooth HC05,Robotica,Modulo de comunicacao sem fio para Arduino
Fonte 12V 5A,Eletronica,Fonte chaveada para alimentar projetos eletronicos
Raspberry Pi 4,Computacao Embarcada,Mini computador para automacao e servidores locais
Switch 8 Portas,Redes,Equipamento para distribuir conexao em rede local
Roteador WiFi,Redes,Roteador para conexao sem fio em ambientes internos
Projetor Multimidia,Multimidia,Projetor utilizado em apresentacoes e aulas
Tablet Educacional,Dispositivos Moveis,Tablet para estudo leitura e atividades educativas
